"","x"
"1",1.33
"2",1.35
"3",0.93
"4",1.08
"5",1.28
"6",1.26
"7",0.99
"8",0.98
"9",1.02
"10",1.07
"11",1.12
"12",1.28
"13",1.31
"14",0.99
"15",1.33
"16",1.28
"17",1.11
"18",1.07
"19",1.34
"20",1.33
"21",1.12
"22",1.45
"23",1.11
"24",1.26
"25",1.05
"26",1.35
"27",1.37
"28",1.27
"29",1.32
"30",1.07
"31",1.23
"32",1.19
"33",1.43
"34",1.26
"35",1.2
"36",1.22
"37",1.19
"38",1.13
"39",1.16
"40",1.02
"41",1.12
"42",1.11
"43",1.07
"44",0.99
"45",1.07
"46",1.06
"47",0.99
"48",0.99
"49",1.06
"50",1.17
"51",1.24
"52",1.22
"53",0.99
"54",1.08
"55",0.96
"56",1.07
"57",0.99
"58",1
"59",1.13
"60",1.12
"61",0.99
"62",1.09
"63",1.09
"64",0.95
"65",0.96
"66",1.07
"67",0.93
"68",1.07
"69",0.97
"70",1.15
"71",1.12
"72",1.09
"73",1.01
"74",1.15
"75",1.08
"76",0.97
"77",1.14
"78",1.01
"79",1.13
"80",0.99
"81",1.1
"82",0.99
"83",1.1
"84",0.96
"85",1.11
"86",1.1
"87",1
"88",1.12
"89",1.12
"90",0.99
"91",1.04
"92",1.11
"93",1
"94",1.12
"95",1.1
"96",0.99
"97",1.1
"98",1.06
"99",1.03
"100",0.96
"101",1.1
"102",1.11
"103",1.11
"104",1
"105",1.17
"106",1.11
"107",1.15
"108",1.04
"109",1.16
"110",1.12
"111",1.04
"112",1.05
"113",1.12
"114",1.19
"115",0.99
"116",1.24
"117",1.28
"118",1.19
"119",1.17
"120",1.09
"121",1.18
"122",1.24
"123",1.16
"124",1.14
"125",1.16
"126",1.17
"127",1.2
"128",1.18
"129",1.1
"130",1.16
"131",1.15
"132",1.16
"133",1.09
"134",1.26
"135",1.19
"136",1.18
"137",1.27
"138",1.26
"139",1.17
"140",1.29
"141",1.28
"142",1.15
"143",1.29
"144",1.25
"145",1.1
"146",1.24
"147",1.26
"148",1.16
"149",1.11
"150",1.25
"151",1.09
"152",1.06
"153",1.2
"154",1.23
"155",1.17
"156",1.08
"157",0.97
"158",1.03
"159",0.99
"160",0.71
"161",1.06
"162",1.09
"163",1.01
"164",1.11
"165",1.14
"166",1.11
"167",1.16
"168",0.94
"169",1.12
"170",0.99
"171",1.03
"172",1.08
"173",1.16
"174",1.19
"175",1.05
"176",1.12
"177",1.1
"178",1.07
